"id","code","upload_name","description","format","video_id","youtube_id","aws_url","subject_id","media_id","status","updated_at","created_at","created_by","updated_by"
"54","itb-johannine-thought-2","ITB Johannine Thought 2",NULL,,NULL,NULL,"https://mytts-references.s3.us-east-2.amazonaws.com/ITB Gospels (Johannine Thought -2).mp4","99","4202","1","2021-06-09 15:44:45","2021-06-09 03:14:45","1","1"
"55","itb-the-book-of-acts-1-13","ITB - The Book of Acts 1-13",NULL,,NULL,NULL,"https://mytts-references.s3.us-east-2.amazonaws.com/ITB Acts 1-13.mp4","100","4202","1","2021-06-09 15:54:30","2021-06-09 03:24:30","1","1"
"56","itb-acts-13-28","ITB - Acts 13-28",NULL,,NULL,NULL,"https://mytts-references.s3.us-east-2.amazonaws.com/ITB - Book of ACTS 13-28.mp4","101","4202","1","2021-08-11 16:52:43","2021-08-11 04:22:43","1","1"
"57","itb-romans","ITB - Romans",NULL,,NULL,NULL,"https://mytts-references.s3.us-east-2.amazonaws.com/ITB - Romans.mp4","102","4202","1","2021-08-11 17:09:12","2021-08-11 04:39:12","1","1"
"58","itb-1-corinthians","ITB - 1 Corinthians",NULL,,NULL,NULL,"https://mytts-references.s3.us-east-2.amazonaws.com/ITB - 1 Corinthians.mp4","103","4202","1","2021-08-11 17:13:46","2021-08-11 04:43:46","1","1"
"59","itb-2-corinthians","ITB -2 Corinthians",NULL,,NULL,NULL,"https://mytts-references.s3.us-east-2.amazonaws.com/ITB - 2 Corinthians.mp4","104","4202","1","2021-08-11 17:21:32","2021-08-11 04:51:32","1","1"
"60","itb-galatians","ITB - Galatians",NULL,,NULL,NULL,"https://mytts-references.s3.us-east-2.amazonaws.com/ITB Galatians.mp4","105","4202","1","2021-08-11 17:27:14","2021-08-11 04:57:14","1","1"
"61","itb-prison-epistles-ephesians-philippians-colossians","ITB -Prison Epistles (Ephesians, Philippians, Colossians)",NULL,,NULL,NULL,"https://mytts-references.s3.us-east-2.amazonaws.com/ITB - Prison Epistles of Paul.mp4","106","4202","1","2021-08-11 17:37:37","2021-08-11 05:07:37","1","1"
"62","itb-prophetical-epistles-1-2-thessalonians","ITB - Prophetical Epistles 1 & 2 Thessalonians)",NULL,,NULL,NULL,"https://mytts-references.s3.us-east-2.amazonaws.com/ITB Prophetical Epistle of Paul (1 & 2 Thessalonians).mp4","107","4202","1","2021-08-11 17:50:10","2021-08-11 05:20:10","1","1"
"63","itb-pastoral-epistles-1-2-timothy-titus","ITB - Pastoral Epistles (1 & 2 Timothy, Titus)",NULL,,NULL,NULL,"https://mytts-references.s3.us-east-2.amazonaws.com/Pastoral epistles ITB.mp4","108","4202","1","2021-08-11 18:06:20","2021-08-11 05:36:20","1","1"
"64","itb-philemon-general-epistles","ITB - Philemon & General Epistles",NULL,,NULL,NULL,"https://mytts-references.s3.us-east-2.amazonaws.com/ITB -General Espistles.mp4","109","4202","1","2021-08-19 04:33:03","2021-08-18 16:02:31","1","1"
"65","itb-the-book-of-revelation","ITB - The Book of Revelation",NULL,,NULL,NULL,"https://mytts-references.s3.us-east-2.amazonaws.com/ITB - Book of Revelation.mp4","110","4202","1","2021-08-20 10:31:58","2021-08-19 22:01:58","1","1"
"66","life-and-ministry-of-jesus-christ-part-1-pre-existence-of-jesus-christ","Life and Ministry of Jesus Christ - Part 1 (Pre-Existence of Jesus Christ)",NULL,,NULL,NULL,"https://mytts-references.s3.us-east-2.amazonaws.com/LMJC - 1.mp4","111","4204","1","2021-09-02 15:50:47","2021-09-02 03:15:37","1","1"
"68","lm-2-pre-existence-of-christ-and-reasons-for-incarnation","L&M # 2 Pre Existence of Christ and Reasons for Incarnation",NULL,,NULL,NULL,"https://mytts-references.s3.us-east-2.amazonaws.com/L%26M+%23+2+(Pre-Existence+of+Christ+%26+Reasons+of+Incarnation.mp4","112","4204","1","2021-11-01 04:13:59","2021-09-29 15:21:40","1","1"
"69","lm-3-birth-narratives-of-jesus-christ","L&M # 3 Birth Narratives of Jesus Christ",NULL,,NULL,NULL,"https://mytts-references.s3.us-east-2.amazonaws.com/L&M # 3- Birth Narratives .mp4","113","4205","1","2021-09-30 05:39:26","2021-09-29 17:09:26","1","1"
"70","lm-4-childhood-narratives-of-jesus-christ","L&M # 4 - Childhood Narratives of Jesus Christ",NULL,,NULL,NULL,"https://mytts-references.s3.us-east-2.amazonaws.com/L&M # 4 CHILDHOOD NARRATIVES OF JESUS CHRIST.mp4","114","4205","1","2021-09-30 06:11:38","2021-09-29 17:41:04","1","1"
