"id","student_id","assignment_id","submission_date","submitted_on","total_marks","updated_at","created_at","created_by","updated_by","deleted_at"
"483","18","181","2016-12-10 00:00:00","2016-12-10 00:00:00",NULL,NULL,NULL,"0","0",NULL
"484","18","182","2016-12-10 00:00:00","2016-12-10 00:00:00",NULL,NULL,NULL,"0","0",NULL
"485","18","183","2016-12-10 00:00:00","2016-12-10 00:00:00",NULL,NULL,NULL,"0","0",NULL
"486","18","184","2016-12-10 00:00:00","2016-12-10 00:00:00",NULL,NULL,NULL,"0","0",NULL
"487","18","185","2016-12-10 00:00:00","2016-12-10 00:00:00",NULL,NULL,NULL,"0","0",NULL
"488","18","186","2016-12-10 00:00:00","2016-12-10 00:00:00",NULL,NULL,NULL,"0","0",NULL
"489","18","187","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL,NULL,NULL,"0","0",NULL
"494","2","207","2017-03-30 00:00:00","2017-03-30 00:00:00",NULL,"2017-03-21 03:07:09","2017-03-20 14:37:09","0","0",NULL
"513","2","160","2017-03-12 00:00:00","2017-03-12 00:00:00",NULL,"2017-03-29 04:51:28","2017-03-28 16:21:28","0","0",NULL
"514","2","162","2017-03-12 00:00:00","2017-03-12 00:00:00",NULL,"2017-03-29 05:06:10","2017-03-28 16:36:10","0","0",NULL
"515","2","163","2017-03-31 00:00:00","2017-03-31 00:00:00",NULL,"2017-03-30 16:54:59","2017-03-30 04:24:59","0","0",NULL
"518","2","74","2017-05-19 10:00:00","2017-05-19 10:00:00",NULL,"2017-05-04 11:03:34","2017-05-04 11:03:34","1","1",NULL
"519","2","164","2017-05-15 00:00:00","2017-05-15 00:00:00",NULL,"2017-05-04 15:45:55","2017-05-04 15:45:55","1","1",NULL
"520","2","165","2017-05-15 00:00:00","2017-05-15 00:00:00",NULL,"2017-05-04 15:46:16","2017-05-04 15:46:16","1","1",NULL
"521","44","216","2017-08-27 00:00:00","2017-08-27 00:00:00",NULL,"2017-08-15 08:04:03","2017-08-14 19:34:03","1","1",NULL
"522","44","217","2017-08-31 00:00:00","2017-08-31 00:00:00",NULL,"2017-08-15 08:07:00","2017-08-14 19:37:00","1","1",NULL
"523","44","218","2017-09-03 00:00:00","2017-09-03 00:00:00",NULL,"2017-08-15 08:07:38","2017-08-14 19:37:38","1","1",NULL
"524","2","223","2017-09-24 00:00:00","2017-09-24 00:00:00",NULL,"2017-09-17 06:19:25","2017-09-16 17:49:25","1","1",NULL
"525","2","224","2017-09-30 00:00:00","2017-09-30 00:00:00",NULL,"2017-09-17 06:27:24","2017-09-16 17:57:24","1","1",NULL
"526","2","225","2017-09-30 00:00:00","2017-09-30 00:00:00",NULL,"2017-09-17 06:27:41","2017-09-16 17:57:41","1","1",NULL
"527","2","226","2017-09-30 00:00:00","2017-09-30 00:00:00",NULL,"2017-09-17 06:27:57","2017-09-16 17:57:57","1","1",NULL
"528","2","227","2017-09-30 00:00:00","2017-09-30 00:00:00",NULL,"2017-09-17 06:28:16","2017-09-16 17:58:16","1","1",NULL
"529","2","228","2017-09-30 00:00:00","2017-09-30 00:00:00",NULL,"2017-09-17 06:28:33","2017-09-16 17:58:33","1","1",NULL
"530","2","229","2017-09-30 00:00:00","2017-09-30 00:00:00",NULL,"2017-09-17 06:28:49","2017-09-16 17:58:49","1","1",NULL
"531","2","229","2017-10-21 00:00:00","2017-10-21 00:00:00",NULL,"2017-10-01 16:44:18","2017-10-01 04:14:18","1","1",NULL
"532","6","1","2017-10-13 00:00:00","2017-10-13 00:00:00",NULL,"2017-10-01 16:46:14","2017-10-01 04:16:14","1","1",NULL
"533","44","219","2017-10-22 00:00:00","2017-10-22 00:00:00",NULL,"2017-10-10 11:26:59","2017-10-09 22:56:59","1","1",NULL
"534","44","220","2017-10-22 00:00:00","2017-10-22 00:00:00",NULL,"2017-10-10 11:27:22","2017-10-09 22:57:22","1","1",NULL
"535","44","221","2017-10-22 00:00:00","2017-10-22 00:00:00",NULL,"2017-10-10 11:27:48","2017-10-09 22:57:48","1","1",NULL
"536","44","237","2017-11-30 00:00:00","2017-11-30 00:00:00",NULL,"2017-11-17 15:25:04","2017-11-17 02:55:04","1","1",NULL
