"id","branches_id","subject_name","subject_code","no_of_exams","class_hours","fees","status","updated_at","created_at","created_by","updated_by"
"77","18","Introduction to Bible - Genesis","ITB002","1","1.00","10.00","1","2021-01-20 14:43:43","2021-01-08 03:40:04","1","1"
"78","18","Introduction to Bible - Exodus","ITB003","1","1.00","10.00","1","2021-01-20 14:42:59","2021-01-20 02:09:51","1","1"
"79","18","Introduction to Bible - Leviticus & Numbers","ITB004","1","1.00","10.00","1","2021-01-20 14:45:02","2021-01-20 02:15:02","1","1"
"80","18","Introduction to Bible - Deuteronomy, Joshua, Judges & Ruth","ITB005","1","1.00","15.00","1","2021-01-20 14:45:52","2021-01-20 02:15:52","1","1"
"81","18","Introduction to Bible - Ruth, 1&2 Samuel","ITB006","1","1.00","10.00","1","2021-01-23 04:05:25","2021-01-22 15:35:25","1","1"
"82","18","Introduction to Bible - 1&2 Kings, 1&2 Chronicles","ITB007","1","1.00","10.00","1","2021-01-23 04:06:15","2021-01-22 15:36:15","1","1"
"83","18","Introduction to Bible - Ezra, Nehemiah & Esther","ITB008","1","1.00","15.00","1","2021-01-23 04:07:08","2021-01-22 15:37:08","1","1"
"84","18","Introduction to Bible - Job & Psalms","ITB009","1","1.00",NULL,"1","2021-02-01 16:27:55","2021-02-01 03:57:55","1","1"
"85","18","Introduction to Bible - Proverbs, Ecclesiastes & Song of Songs","ITB110","1","1.00",NULL,"1","2021-02-01 16:35:47","2021-02-01 04:05:47","1","1"
"86","18","Introduction to Bible - Isaiah, Jeremiah & Lamentation","ITB111","1","1.00",NULL,"1","2021-02-01 16:37:39","2021-02-01 04:07:39","1","1"
"87","18","Introduction to Bible - Hosea ,Joel & Amos","ITB112","1","1.00",NULL,"1","2021-02-03 10:23:37","2021-02-02 21:53:37","1","1"
"88","18","Introduction to Bible - Obadiah, Jonah, Mica, Nahum, Habakkuk & Zephaniah","ITB113","1","1.00",NULL,"1","2021-02-03 11:20:23","2021-02-02 22:50:23","1","1"
"89","18","Introduction to Bible - Haggai, Zechariah & Malachi","ITB114","1","1.00",NULL,"1","2021-02-03 11:21:40","2021-02-02 22:51:40","1","1"
"92","18","Introduction to Bible - Ezekiel & Daniel","ITB115","1","1.00",NULL,"1","2021-04-17 15:35:57","2021-04-17 03:05:57","1","1"
"93","18","Introduction to Bible - NT Intro - Part 1","ITBNT001","1","1.00",NULL,"1","2021-04-17 15:43:07","2021-04-17 03:13:07","1","1"
"94","18","ITB - NT World","ITBNT002","1","1.00",NULL,"1","2021-05-21 12:48:47","2021-05-21 00:18:47","1","1"
"95","18","ITB - Gospels 1","ITBNT003","1","1.00",NULL,"1","2021-05-21 12:50:00","2021-05-21 00:20:00","1","1"
"96","18","ITB - Gospels 2","ITBNT004","1","1.00",NULL,"1","2021-05-21 12:50:54","2021-05-21 00:20:54","1","1"
"97","18","ITB - Gospels 3","ITBNT005","1","1.00",NULL,"1","2021-05-21 12:52:00","2021-05-21 00:22:00","1","1"
"98","18","ITB - Gospels 4 (Johannine Thought 1)","ITBNT006","1","1.00",NULL,"1","2021-05-21 13:42:13","2021-05-21 01:12:13","1","1"
"99","18","ITB - Gospels - Johannine Thought 2","ITBNT007","1","1.00",NULL,"1","2021-06-09 15:42:03","2021-06-09 03:12:03","1","1"
"100","18","ITB - The Book of Acts 1-13","ITBNT008","1","1.00",NULL,"1","2021-06-09 15:52:37","2021-06-09 03:22:37","1","1"
"101","18","ITB - Acts 13-28","ITB010","1","1.00",NULL,"1","2021-08-11 16:41:58","2021-08-11 04:11:58","1","1"
"102","18","ITB-Romans","ITB011","1","1.00",NULL,"1","2021-08-11 16:42:36","2021-08-11 04:12:36","1","1"
"103","18","ITB - 1 Corinthians","ITB012","1","1.00",NULL,"1","2021-08-11 16:43:30","2021-08-11 04:13:30","1","1"
"104","18","ITB - 2 Corinthians","ITB013","1","1.00",NULL,"1","2021-08-11 16:43:59","2021-08-11 04:13:59","1","1"
"105","18","ITB - Galatians","ITB014","1","1.00",NULL,"1","2021-08-11 16:44:33","2021-08-11 04:14:33","1","1"
"106","18","ITB - Prison Epistles (Ephesians, Philippians & Colossians","ITB015","1","1.00",NULL,"1","2021-08-11 16:46:55","2021-08-11 04:16:55","1","1"
"107","18","ITB - Prophetical Epistles (1 & 2 Thessalonians)","ITB016","1","1.00",NULL,"1","2021-08-11 16:47:45","2021-08-11 04:17:45","1","1"
"108","18","ITB - Pastoral Epistles (1 & 2 Timothy, Titus)","ITB017","1","1.00",NULL,"1","2021-08-11 16:48:29","2021-08-11 04:18:29","1","1"
"109","18","ITB - Philemon & General Epistles (Hebrew, James, 1&2 Peter, 12&3 John, Jude)","ITB018","1","1.00",NULL,"1","2021-08-11 16:49:47","2021-08-11 04:19:47","1","1"
"110","18","ITB - Revelation","ITB019","1","1.00",NULL,"1","2021-08-11 16:50:12","2021-08-11 04:20:12","1","1"
"111","19","LMJC - Pre-Existence","LMJC1","1","1.00",NULL,"1","2021-09-01 17:31:42","2021-09-01 05:01:42","1","1"
"112","19","LMJC - Part 2 Pre-Existence of Jesus Christ & Reasons for Incarnation","LMJC2","1","1.00",NULL,"1","2021-09-02 16:04:52","2021-09-02 03:34:52","1","1"
"113","19","LMJC # 3 Birth Narratives of Jesus Christ","LMJC3","1","1.00",NULL,"1","2021-09-30 05:28:35","2021-09-29 16:58:35","1","1"
"114","19","LMJC # 4 - Childhood Narratives of Jesus Christ","LMJC4","1","1.00",NULL,"1","2021-09-30 05:32:13","2021-09-29 17:02:13","1","1"
